fuel,reg_year,age,emissions,std_error,n
car_diesel,2012,10,40.86133026636219,0.03640192006614657,156555
car_diesel,2012,11,43.36148533636681,0.03874483312188574,154356
car_diesel,2012,12,45.25649673345442,0.04484148275667369,120398
car_diesel,2013,0,8.367024548566464,0.0023630831895563517,173162
car_diesel,2013,1,12.18438380827668,0.006309178706480841,173162
car_diesel,2013,2,16.001743067986897,0.011331736171002907,173162
car_diesel,2013,3,19.853732637656215,0.01661902034440399,173162
car_diesel,2013,4,23.25271816903408,0.021570323726921362,147390
car_diesel,2013,5,26.40751979169069,0.02293601858481297,168302
car_diesel,2013,6,29.48544389078649,0.02572570531527032,167309
car_diesel,2013,7,32.04109854157001,0.028487262020174355,159536
car_diesel,2013,8,34.34921238915513,0.029886430219021903,167040
car_diesel,2013,9,36.93265761638294,0.03207660253973355,167593
car_diesel,2013,10,39.47504568178312,0.034328772248288814,165715
car_diesel,2013,11,41.5554292058189,0.039970121552307954,132558
car_diesel,2014,0,8.586592168628894,0.0023914871275626413,181050
car_diesel,2014,1,12.27937108629516,0.006117103681494046,181050
car_diesel,2014,2,15.972150003961428,0.010901971957964576,181050
car_diesel,2014,3,19.703705553369883,0.015983586348461528,181050
car_diesel,2014,4,22.953360616675035,0.01943704266306923,176531
car_diesel,2014,5,26.06585054853245,0.022295851672568364,175557
car_diesel,2014,6,28.701867638826283,0.02513392038083866,167659
car_diesel,2014,7,31.014238658172605,0.026625970577846724,175127
car_diesel,2014,8,33.61623645543141,0.028926356275825904,175456
car_diesel,2014,9,36.194502881598616,0.03126651042913219,173745
car_diesel,2014,10,38.374453144834334,0.036589322230840785,141086
car_diesel,2015,0,8.350847725641788,0.0025061734833039737,188287
car_diesel,2015,1,11.732581405505575,0.005766079600366937,188287
car_diesel,2015,2,15.114315085369357,0.010082068800280652,188287
car_diesel,2015,3,18.539236874246466,0.014724071418273532,188287
car_diesel,2015,4,21.563529652752887,0.01806008210180499,183471
car_diesel,2015,5,24.07153408507115,0.02088627741166754,174491
car_diesel,2015,6,26.31535796055544,0.022526564803297216,182697
car_diesel,2015,7,28.834880614431388,0.024866084503303562,182728
car_diesel,2015,8,31.337382864509784,0.02721710990868332,180964
car_diesel,2015,9,33.563032183018535,0.032169452537104536,148273
car_diesel,2016,0,8.492036416646352,0.002634350283949219,193083
car_diesel,2016,1,11.840122826485466,0.005740317417462171,193083
